KINASE	P_VALUE	CHI2_P_VALUE	UPID	FOUND	SUB#	ADJ_P_VALUE	HITS
Fer	0.17078422135812504	0.3753107300723538	P16591	2	21	0.3812147798172434	P28482-Y187, P40763-Y705
NEK9	0.1955242598172489	0.5280119442657504	Q8TD19	1	6	0.41424631317213756	Q8TD19-T210
CAMKK2	0.1955242598172489	0.5280119442657504	Q96RR4	1	6	0.41424631317213756	P31749-T308
MKK3	0.1955242598172489	0.5280119442657504	P46734	1	6	0.41424631317213756	Q16539-Y182
KHS2	0.22417958046380293	0.6089227393985033	Q8IVH8	1	7	0.46010569049668515	Q04759-T538
DYRK2	0.22453157696238235	0.4920131209838291	Q92630	3	46	0.46010569049668515	Q13541-S65, Q9Y2V2-S41, Q9Y2V2-S41(i)
AMPKA2	0.24357709889754312	0.5371488955718857	P54646	3	48	0.4910828606805305	P08559-S293(i), P08559-S300(i), Q9UQB8-S366
PKG1 iso2	0.25181612501278594	0.6813413781608457	Q13976-2	1	8	0.4996351686761626	P04792-S15
FGFR1	0.2763903728787032	0.6391289681453687	P11362	2	29	0.5311970123686581	P08559-Y301, P40763-Y705
WNK1	0.27847004541310977	0.7466239743730763	Q9H4A3	1	9	0.5311970123686581	O95747-S325
AMPKA1	0.2804720225306515	0.5912403992701982	Q13131	8	174	0.5311970123686581	O60825-S466, O75385-S556, P04406-S122, P08559-S293(i), P08559-S300(i), Q9Y478-S182(i), Q9Y478-S24
FAM20C	0.304176213164031	0.8058819055138204	Q8IXL6	1	10	0.5591474506691746	P02765-S330
TGFBR1	0.304176213164031	0.8058819055138204	P36897	1	10	0.5591474506691746	P68104-S291(i)
CLK2	0.3289682645808725	0.8600126286089257	P49760	1	11	0.5959570010523052	O60829-T51
ERK1	0.33388952729797006	0.6925536518670933	P27361	16	395	0.596231298746375	C9JLW8-S21, P15056-S151, P27361-T202(i), P27361-T207, P27361-Y204, Q13541-S65, Q15746-S1776(i), Q15746-S1779, Q96RK0-S1397(i), Q9H8Y8-T225, Q9H8Y8-T225(i), Q9UHB6-S369(i), Q9UHB6-S374, Q9UJY1-S24, Q9UJY1-S24(i)
PKN1	0.35287864446357803	0.9097408855378166	Q16512	1	12	0.6174802139869352	P30622-S306(i)
PKCG	0.35566860325647465	0.8166798081410964	P05129	2	35	0.6174802139869352	P21730-S327(i), Q9H3Z4-S10
ALK	0.37593864822434114	0.9556554371712443	Q9UM73	1	13	0.6265644137072353	P40763-Y705
FLT3	0.37593864822434114	0.9556554371712443	P36888	1	13	0.6265644137072353	P08559-Y301
